name,event,spoken_statement,timestamp
Person_001,ENTER,,,2026-05-25 17:27:26
Person_001,ENTER,,,2026-05-25 17:27:43
Person_001,EXIT,,,2026-05-25 17:27:47
Person_001,ENTER,,,2026-05-25 17:27:56
Person_001,ENTER,,,2026-05-25 17:33:39
Person_001,EXIT,,,2026-05-25 17:33:42
Person_002,ENTER (Auto-Enrolled),,,2026-05-25 17:35:41
Person_002,ENTER,,,2026-05-25 17:35:58
Person_001,ENTER,,,2026-05-25 17:37:04
Person_001,ENTER,,,2026-05-25 17:37:30
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:37:49
Person_001,ENTER,,,2026-05-25 17:45:51
Person_001,EXIT,,,2026-05-25 17:46:01
Person_001,ENTER,,,2026-05-25 17:46:28
Person_001,EXIT,,,2026-05-25 17:46:36
Person_001,ENTER,,,2026-05-25 17:47:12
Person_001,EXIT,,,2026-05-25 17:47:20
Person_001,ENTER,,,2026-05-25 17:47:43
Person_001,EXIT,,,2026-05-25 17:47:56
Person_001,ENTER,,,2026-05-25 17:48:13
Person_001,SPOKE,Dogs are sitting,,2026-05-25 17:48:16
Person_001,EXIT,,,2026-05-25 17:48:56
Person_001,ENTER,,,2026-05-25 17:48:58
Person_001,ENTER,,,2026-05-25 17:53:29
Person_001,EXIT,,,2026-05-25 17:53:36
Person_002,ENTER,,,2026-05-25 17:53:51
Person_002,EXIT,,,2026-05-25 17:53:57
Person_002,ENTER,,,2026-05-25 17:53:57
Person_002,EXIT,,,2026-05-25 17:54:04
Person_001,ENTER,,,2026-05-25 17:54:14
Person_001,EXIT,,,2026-05-25 17:54:47
Person_001,ENTER,,,2026-05-25 18:00:31
Person_001,ENTER,,,2026-05-25 18:00:49
Person_001,EXIT,,,2026-05-25 18:00:59
Person_001,ENTER,,,2026-05-25 18:01:05
Person_001,EXIT,,,2026-05-25 18:01:14
Person_001,ENTER,,,2026-05-25 18:01:17
Person_001,ENTER,,,2026-05-25 18:01:19
Person_001,SPOKE,Dogs are sitting,,2026-05-25 18:01:24
Person_001,ENTER,,,2026-05-25 18:08:49
Person_002,ENTER,,,2026-05-25 18:23:36
Person_001,ENTER,,,2026-05-25 18:25:48
Person_001,SPOKE,Dogs are sitting,,2026-05-25 18:26:34
Person_001,ENTER,,,,2026-05-25 18:34:39
Person_001,EXIT,,,,2026-05-25 18:34:49
Person_003,ENTER (Auto-Enrolled),,,,2026-05-27 23:17:52
Person_003,EXIT,,,,2026-05-27 23:18:10
Person_001,ENTER,,,,2026-05-27 23:18:29
Person_003,ENTER,,,,2026-05-27 23:24:06
