model,model_path,input_height,input_width,internal_rescaling_detected,test_loss,accuracy,accuracy_percent,weighted_precision,weighted_precision_percent,weighted_recall,weighted_recall_percent,weighted_f1_score,weighted_f1_percent,macro_precision,macro_precision_percent,macro_recall,macro_recall_percent,macro_f1_score,macro_f1_percent
vanilla,models\emotion_cnn_vanilla.keras,96,96,False,1.6774249076843262,0.6714423298835754,67.14,0.6684391438143451,66.84,0.6714423474307756,67.14,0.6611929687384063,66.12,0.6435444837061397,64.35,0.6379867041490156,63.8,0.631753113233135,63.18
residual,models\emotion_cnn_residual.keras,128,128,False,1.126607060432434,0.6761261820793152,67.61,0.6798730097505797,67.99,0.6761261881801901,67.61,0.6624174335632037,66.24,0.6597908741680725,65.98,0.6377802694001161,63.78,0.6315072448583203,63.15
